ID da Pessoa,Categoria de Stakeholder,Nome Completo,Usuário Proprietário da Pessoa,Nível de Relacionamento,Data de Criação,Celular,E-mail,Linkedin,Instagram
4507,Cliente,Gabriel Silva,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 99508-2679,gabriel.silva@gmail.com,http://linkedin.com/in/gabrielsilva,@gabrielsilva
2616,Parceiro,Carlos Silva,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 98569-3547,carlos.silva@gmail.com,http://linkedin.com/in/carlossilva,@carlossilva
4804,Parceiro,Pedro Lima,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99182-4150,pedro.lima@gmail.com,http://linkedin.com/in/pedrolima,@pedrolima
1170,Outros,Marcos Rodrigues,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99093-5010,marcos.rodrigues@gmail.com,http://linkedin.com/in/marcosrodrigues,@marcosrodrigues
5156,Cliente,Marcos Gomes,Rafael Giacomini,Baixo,09/04/2024,+55 (11) 98810-8517,marcos.gomes@gmail.com,http://linkedin.com/in/marcosgomes,@marcosgomes
1797,Cliente,Pedro Silva,Rafael Giacomini,Baixo,09/04/2024,+55 (11) 99622-7916,pedro.silva@gmail.com,http://linkedin.com/in/pedrosilva,@pedrosilva
54,Parceiro,Luiz Pereira,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 99990-9201,luiz.pereira@gmail.com,http://linkedin.com/in/luizpereira,@luizpereira
5948,Fornecedor,João Santos,Luiza Aduan,Alto,09/04/2024,+55 (11) 98493-2290,joão.santos@gmail.com,http://linkedin.com/in/joãosantos,@joãosantos
6538,Parceiro,Marcos Rodrigues,Luiza Aduan,Baixo,09/04/2024,+55 (11) 98897-9479,marcos.rodrigues@gmail.com,http://linkedin.com/in/marcosrodrigues,@marcosrodrigues
515,Colaborador,Bruno Santos,Rafael Giacomini,Alto,09/04/2024,+55 (11) 98487-5562,bruno.santos@gmail.com,http://linkedin.com/in/brunosantos,@brunosantos
7652,Parceiro,Antônia Alves,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 98124-7596,antônia.alves@gmail.com,http://linkedin.com/in/antôniaalves,@antôniaalves
242,Cliente,Lucas Lima,Luiza Aduan,Alto,09/04/2024,+55 (11) 98832-8956,lucas.lima@gmail.com,http://linkedin.com/in/lucaslima,@lucaslima
9490,Parceiro,Marcos Silva,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99531-6138,marcos.silva@gmail.com,http://linkedin.com/in/marcossilva,@marcossilva
4034,Parceiro,Gabriel Gomes,Rafael Giacomini,Baixo,09/04/2024,+55 (11) 99268-2343,gabriel.gomes@gmail.com,http://linkedin.com/in/gabrielgomes,@gabrielgomes
9225,Cliente,João Pereira,Luiza Aduan,Alto,09/04/2024,+55 (11) 98436-9288,joão.pereira@gmail.com,http://linkedin.com/in/joãopereira,@joãopereira
4334,Cliente,Gabriel Oliveira,Rafael Giacomini,Alto,09/04/2024,+55 (11) 98557-5616,gabriel.oliveira@gmail.com,http://linkedin.com/in/gabrieloliveira,@gabrieloliveira
7240,Parceiro,Carlos Oliveira,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 99148-1158,carlos.oliveira@gmail.com,http://linkedin.com/in/carlosoliveira,@carlosoliveira
5795,Parceiro,Bruno Santos,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 99895-4878,bruno.santos@gmail.com,http://linkedin.com/in/brunosantos,@brunosantos
7542,Fornecedor,Bruno Souza,Luiza Aduan,Médio,09/04/2024,+55 (11) 98456-1387,bruno.souza@gmail.com,http://linkedin.com/in/brunosouza,@brunosouza
627,Cliente,Patrícia Rodrigues,Luiza Aduan,Baixo,09/04/2024,+55 (11) 98707-6139,patrícia.rodrigues@gmail.com,http://linkedin.com/in/patríciarodrigues,@patríciarodrigues
5144,Parceiro,Maria Gomes,Rafael Giacomini,Alto,09/04/2024,+55 (11) 99038-6067,maria.gomes@gmail.com,http://linkedin.com/in/mariagomes,@mariagomes
3444,Fornecedor,Rafael Rodrigues,Rafael Giacomini,Baixo,09/04/2024,+55 (11) 98952-8238,rafael.rodrigues@gmail.com,http://linkedin.com/in/rafaelrodrigues,@rafaelrodrigues
3263,Cliente,Rafael Souza,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 98501-8784,rafael.souza@gmail.com,http://linkedin.com/in/rafaelsouza,@rafaelsouza
7612,Cliente,Luiz Lima,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99878-2988,luiz.lima@gmail.com,http://linkedin.com/in/luizlima,@luizlima
7940,Parceiro,Carlos Lima,Luiza Aduan,Alto,09/04/2024,+55 (11) 98900-2269,carlos.lima@gmail.com,http://linkedin.com/in/carloslima,@carloslima
7634,Fornecedor,Maria Lima,Rafael Giacomini,Alto,09/04/2024,+55 (11) 99705-7883,maria.lima@gmail.com,http://linkedin.com/in/marialima,@marialima
476,Fornecedor,Antônia Pereira,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 99483-3704,antônia.pereira@gmail.com,http://linkedin.com/in/antôniapereira,@antôniapereira
7450,Fornecedor,Maria Souza,Luiza Aduan,Médio,09/04/2024,+55 (11) 98569-7906,maria.souza@gmail.com,http://linkedin.com/in/mariasouza,@mariasouza
7759,Parceiro,Bruno Oliveira,Alexandre Bazzi,Alto,09/04/2024,+55 (11) 98952-5198,bruno.oliveira@gmail.com,http://linkedin.com/in/brunooliveira,@brunooliveira
3979,Cliente,Pedro Gomes,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 99741-2983,pedro.gomes@gmail.com,http://linkedin.com/in/pedrogomes,@pedrogomes
7136,Cliente,Adriana Oliveira,Luiza Aduan,Baixo,09/04/2024,+55 (11) 99977-5425,adriana.oliveira@gmail.com,http://linkedin.com/in/adrianaoliveira,@adrianaoliveira
7989,Cliente,Maria Oliveira,Luiza Aduan,Médio,09/04/2024,+55 (11) 98697-5581,maria.oliveira@gmail.com,http://linkedin.com/in/mariaoliveira,@mariaoliveira
6626,Parceiro,Rafael Souza,Rafael Giacomini,Alto,09/04/2024,+55 (11) 99359-7046,rafael.souza@gmail.com,http://linkedin.com/in/rafaelsouza,@rafaelsouza
8780,Outros,Maria Santos,Rafael Giacomini,Alto,09/04/2024,+55 (11) 98443-8933,maria.santos@gmail.com,http://linkedin.com/in/mariasantos,@mariasantos
2069,Parceiro,Fernanda Rodrigues,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 99787-1200,fernanda.rodrigues@gmail.com,http://linkedin.com/in/fernandarodrigues,@fernandarodrigues
2445,Parceiro,Lucas Oliveira,Luiza Aduan,Médio,09/04/2024,+55 (11) 98508-2940,lucas.oliveira@gmail.com,http://linkedin.com/in/lucasoliveira,@lucasoliveira
4336,Parceiro,Marcos Souza,Luiza Aduan,Alto,09/04/2024,+55 (11) 98491-3847,marcos.souza@gmail.com,http://linkedin.com/in/marcossouza,@marcossouza
9664,Parceiro,Bruno Rodrigues,Rafael Giacomini,Alto,09/04/2024,+55 (11) 98235-9922,bruno.rodrigues@gmail.com,http://linkedin.com/in/brunorodrigues,@brunorodrigues
8200,Parceiro,Francisca Rodrigues,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 98164-1653,francisca.rodrigues@gmail.com,http://linkedin.com/in/franciscarodrigues,@franciscarodrigues
2974,Parceiro,Adriana Rodrigues,Luiza Aduan,Médio,09/04/2024,+55 (11) 99984-2494,adriana.rodrigues@gmail.com,http://linkedin.com/in/adrianarodrigues,@adrianarodrigues
4136,Fornecedor,Pedro Ferreira,Luiza Aduan,Alto,09/04/2024,+55 (11) 99771-9431,pedro.ferreira@gmail.com,http://linkedin.com/in/pedroferreira,@pedroferreira
1990,Cliente,Adriana Pereira,Alexandre Bazzi,Baixo,09/04/2024,+55 (11) 99453-3594,adriana.pereira@gmail.com,http://linkedin.com/in/adrianapereira,@adrianapereira
7737,Cliente,Antônia Pereira,Alexandre Bazzi,Médio,09/04/2024,+55 (11) 98785-4122,antônia.pereira@gmail.com,http://linkedin.com/in/antôniapereira,@antôniapereira
5447,Parceiro,Juliana Ferreira,Luiza Aduan,Baixo,09/04/2024,+55 (11) 98932-6272,juliana.ferreira@gmail.com,http://linkedin.com/in/julianaferreira,@julianaferreira
