RG,CPF
131994523,195.323.338-74
507943839,199.467.967-54
185675980,975.338.987-22
787194506,804.670.324-97
899925830,674.651.369-84
668132202,357.666.981-11
786066793,619.723.303-29
237859287,775.586.662-31
168747287,446.121.702-80
876693898,684.690.584-41
304235259,649.559.243-64
276777762,488.102.499-43
639931481,973.643.261-17
379995032,309.785.833-50
362298393,478.391.261-66
642678844,600.357.966-16
996139578,478.696.665-28
292587044,854.440.901-62
174539964,891.385.459-92
513600440,690.294.360-15
695295870,230.296.530-95
952266893,915.853.273-94
871318048,813.493.606-61
910943524,553.727.934-74
443285529,653.182.241-29
612153089,106.460.405-59
523076025,706.677.778-13
904258674,652.153.458-38
935147672,938.267.418-23
810303128,479.170.618-92
446071904,972.351.950-21
191926217,347.837.516-72
556881239,863.663.438-55
207939087,952.298.403-39
465830215,288.152.358-71
932894596,635.489.561-66
583724666,805.708.581-47
176675731,161.269.911-49
127772220,193.334.790-83
444733679,786.207.978-30
158201193,292.630.470-89
200082623,330.961.216-69
464938258,906.619.373-10
350785761,976.894.520-15
180346223,580.900.371-53
916440738,748.820.993-22
765408938,799.346.609-84
841218491,356.567.965-48
932945529,918.335.721-55
288592093,305.235.905-79
383960237,649.226.565-57
250084428,146.138.411-73
400368694,133.806.479-37
154308262,905.441.349-26
241522640,115.466.908-40
760465943,144.844.902-94
235497187,381.739.748-84
528133274,525.847.197-50
819421270,225.520.462-95
918841563,385.687.331-64
708082645,773.510.171-28
823668399,183.378.553-94
108253947,309.408.316-27
120123575,570.179.982-50
662600500,180.505.991-49
746820987,256.878.877-93
735032128,157.460.619-19
749620068,587.613.254-17
538912794,893.446.795-86
738920648,825.186.417-81
247709679,258.179.402-22
576954730,725.391.870-67
368438908,153.756.592-57
525689202,614.482.341-59
185068029,119.362.320-29
778556450,627.688.347-28
782546314,496.482.359-12
868847524,894.568.137-47
958287383,476.547.509-66
809656613,402.413.556-87
253308283,969.722.794-66
527385805,421.765.385-41
865975088,555.189.929-97
694875990,686.477.578-80
237798236,999.948.898-80
781887358,664.381.228-90
799145494,315.885.685-63
465278987,721.247.420-50
271476207,933.435.691-50
741580895,963.769.788-70
514838889,616.561.882-80
866213410,441.923.585-76
975903641,117.477.439-96
714792641,817.212.295-12
664226794,485.421.277-68
474524558,673.914.838-45
989006374,651.377.675-99
536913550,768.999.587-71
140229006,109.405.681-87
709650444,790.875.297-32
