ID da Pessoa,Categoria de Stakeholder,Nome Completo,Usuário Proprietário da Pessoa,Equipe Proprietária da Pessoa,Nível de Relacionamento,Data de Criação,Data da Última Atualização,Telefone Fixo,Celular,E-mail,Linkedin,Instagram,Endereço,Canal Preferido,Cargo,Departamento,Área,Equipe,Líder Direto,RG,CPF,Estado Civil,Profissão,Idade,Gênero,Data de Nascimento,Função de Compra,Função de Impacto,Função de Formalização,Função de Faturamento
4507,,Gabriel Silva,Alexandre Bazzi,Vendas,Alto,09/04/2024,09/04/2024,+55 (11) 3000-3286,+55 (11) 99508-2679,gabriel.silva@gmail.com,http://linkedin.com/in/gabrielsilva,@gabrielsilva,"Rua Tangará, 132",E-mail,Gerente,Jurídico,Operações,Operações,Head,131994523,123.456.789-09,Separado,Engenheiro,20,Masculino,12/02/1980,Coach,Campeão,Testemunha,Sem Função de Faturamento
2616,,Carlos Silva,Alexandre Bazzi,Vendas,Médio,10/04/2024,10/04/2024,+55 (11) 3000-6574,+55 (11) 98569-3547,carlos.silva@gmail.com,http://linkedin.com/in/carlossilva,@carlossilva,"Rua Tangará, 132",Telefone,C-Level,Tecnologia,Operações,Operações,CEO,507943839,987.654.321-00,Separado,Economista,35,Não Binário,13/02/1980,Bloqueador,Tomador de Decisão,Signatário,Time Financeiro
4804,,Pedro Lima,Luiza Aduan,Customer Success,Baixo,11/04/2024,11/04/2024,+55 (11) 3000-6925,+55 (11) 99182-4150,pedro.lima@gmail.com,http://linkedin.com/in/pedrolima,@pedrolima,"Rua Tangará, 132",E-mail,Coordenador,Marketing,Planejamento,Planejamento,Gerente,185675980,456.789.123-64,Viúvo,Economista,47,Não Binário,14/02/1980,Coach,Campeão,Testemunha,Time Financeiro
1170,,Marcos Rodrigues,Luiza Aduan,Customer Success,Baixo,12/04/2024,12/04/2024,+55 (11) 3000-3803,+55 (11) 99093-5010,marcos.rodrigues@gmail.com,http://linkedin.com/in/marcosrodrigues,@marcosrodrigues,"Rua Tangará, 132",Telefone,Analista,Jurídico,Planejamento,Planejamento,Coordenador,787194506,321.654.987-91,Divorciado,Engenheiro,32,Masculino,15/02/1980,Coach,Admin,Testemunha,Responsável pelo Financeiro
5156,,Marcos Gomes,Rafael Giacomini,Onboarding,Baixo,13/04/2024,13/04/2024,+55 (11) 3000-9179,+55 (11) 98810-8517,marcos.gomes@gmail.com,http://linkedin.com/in/marcosgomes,@marcosgomes,"Rua Tangará, 132",Telefone,Coordenador,Marketing,Desenvolvimento,Desenvolvimento,Gerente,899925830,654.321.789-82,Viúvo,Gerente,43,Feminino,16/02/1980,Influenciador,Campeão,Testemunha,Time Financeiro
1797,,Pedro Silva,Rafael Giacomini,Onboarding,Baixo,14/04/2024,14/04/2024,+55 (11) 3000-3621,+55 (11) 99622-7916,pedro.silva@gmail.com,http://linkedin.com/in/pedrosilva,@pedrosilva,"Rua Tangará, 132",E-mail,CEO,Gestão,Executivo,Executivo,,668132202,159.357.486-06,Casado,Gerente,35,Não Binário,17/02/1980,Bloqueador,Campeão,Testemunha,Time Financeiro
54,,Luiz Pereira,Alexandre Bazzi,Vendas,Baixo,15/04/2024,15/04/2024,+55 (11) 3000-5315,+55 (11) 99990-9201,luiz.pereira@gmail.com,http://linkedin.com/in/luizpereira,@luizpereira,"Rua Tangará, 132",Telefone,Gerente,Tecnologia,Planejamento,Planejamento,Head,786066793,246.810.121-90,Divorciado,Empreendedor,52,Não Binário,18/02/1980,Tomador de Decisão,Usuário,Testemunha,Time Financeiro
5948,,João Santos,Luiza Aduan,Customer Success,Alto,16/04/2024,16/04/2024,+55 (11) 3000-1949,+55 (11) 98493-2290,joão.santos@gmail.com,http://linkedin.com/in/joãosantos,@joãosantos,"Rua Tangará, 132",E-mail,C-Level,Tecnologia,Desenvolvimento,Desenvolvimento,CEO,237859287,357.951.486-52,Divorciado,Gerente,56,Feminino,19/02/1980,Influenciador,Usuário,Testemunha,Sem Função de Faturamento
6538,,Marcos Rodrigues,Luiza Aduan,Customer Success,Baixo,17/04/2024,17/04/2024,+55 (11) 3000-7118,+55 (11) 98897-9479,marcos.rodrigues@gmail.com,http://linkedin.com/in/marcosrodrigues,@marcosrodrigues,"Rua Tangará, 132",Whatsapp,Gerente,Marketing,Desenvolvimento,Desenvolvimento,Head,168747287,123.456.789-09,Solteiro,Gerente,32,Masculino,20/02/1980,Tomador de Decisão,Tomador de Decisão,Testemunha,Responsável pelo Financeiro
515,,Bruno Santos,Rafael Giacomini,Onboarding,Alto,18/04/2024,18/04/2024,+55 (11) 3000-9423,+55 (11) 98487-5562,bruno.santos@gmail.com,http://linkedin.com/in/brunosantos,@brunosantos,"Rua Tangará, 132",Whatsapp,C-Level,Financeiro,Desenvolvimento,Desenvolvimento,CEO,876693898,987.654.321-00,Viúvo,Administrador,30,Masculino,21/02/1980,Tomador de Decisão,Tomador de Decisão,Testemunha,Time Financeiro
