Id do registro,Id do registro,Id do registro,Id do registro,ID da Empresa,ID da Empresa,ID da Empresa,ID da Empresa,ID do Negócio,ID do Negócio,ID do Negócio,ID do Negócio,Nome do Contato,Nome do Contato,Nome do Contato,Nome do Contato,Responsável,Responsável,Responsável,Responsável,Equipe,Equipe,Equipe,Equipe,Nível de Relacionamento,Nível de Relacionamento,Nível de Relacionamento,Nível de Relacionamento,Data de Criação,Data de Criação,Data de Criação,Data de Criação,Atualizado em,Atualizado em,Atualizado em,Atualizado em,Função de Compra,Função de Compra,Função de Compra,Função de Compra,Função de Impacto,Função de Impacto,Função de Impacto,Função de Impacto,Função de Formalização,Função de Formalização,Função de Formalização,Função de Formalização,Assinante,Assinante,Assinante,Assinante,Cargo,Cargo,Cargo,Cargo,Departamento,Departamento,Departamento,Departamento,Área,Área,Área,Área,Equipe.1,Equipe.1,Equipe.1,Equipe.1,Líder Direto,Líder Direto,Líder Direto,Líder Direto,Telefone Fixo,Telefone Fixo,Telefone Fixo,Telefone Fixo,Número de Celular,Número de Celular,Número de Celular,Número de Celular,E-mail,E-mail,E-mail,E-mail,URL do Linkedin,URL do Linkedin,URL do Linkedin,URL do Linkedin,Instagram,Instagram,Instagram,Instagram,Endereço,Endereço,Endereço,Endereço,Canal Preferido,Canal Preferido,Canal Preferido,Canal Preferido,RG,RG,RG,RG,CPF,CPF,CPF,CPF,Estado Civil,Estado Civil,Estado Civil,Estado Civil,Profissão,Profissão,Profissão,Profissão,Idade,Idade,Idade,Idade,Sexo,Sexo,Sexo,Sexo,Data de Nascimento,Data de Nascimento,Data de Nascimento,Data de Nascimento
4507,4507,4507,4507,5507,5507,5507,5507,6507,6507,6507,6507,Gabriel Silva,Gabriel Silva,Gabriel Silva,Gabriel Silva,Alexandre Bazzi,Alexandre Bazzi,Alexandre Bazzi,Alexandre Bazzi,Vendas,Vendas,Vendas,Vendas,Alto,Alto,Alto,Alto,09/04/2024,09/04/2024,09/04/2024,09/04/2024,09/04/2024,09/04/2024,09/04/2024,09/04/2024,Coach,Coach,Coach,Coach,Campeão,Campeão,Campeão,Campeão,Testemunha,Testemunha,Testemunha,Testemunha,Sem Função de Faturamento,Sem Função de Faturamento,Sem Função de Faturamento,Sem Função de Faturamento,Gerente,Gerente,Gerente,Gerente,Jurídico,Jurídico,Jurídico,Jurídico,Operações,Operações,Operações,Operações,Operações,Operações,Operações,Operações,Head,Head,Head,Head,+55 (11) 3000-3286,+55 (11) 3000-3286,+55 (11) 3000-3286,+55 (11) 3000-3286,+55 (11) 99508-2679,+55 (11) 99508-2679,+55 (11) 99508-2679,+55 (11) 99508-2679,gabriel.silva@gmail.com,gabriel.silva@gmail.com,gabriel.silva@gmail.com,gabriel.silva@gmail.com,http://linkedin.com/in/gabrielsilva,http://linkedin.com/in/gabrielsilva,http://linkedin.com/in/gabrielsilva,http://linkedin.com/in/gabrielsilva,@gabrielsilva,@gabrielsilva,@gabrielsilva,@gabrielsilva,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",E-mail,E-mail,E-mail,E-mail,131994523,131994523,131994523,131994523,123.456.789-09,123.456.789-09,123.456.789-09,123.456.789-09,Separado,Separado,Separado,Separado,Engenheiro,Engenheiro,Engenheiro,Engenheiro,20,20,20,20,Masculino,Masculino,Masculino,Masculino,12/02/1980,12/02/1980,12/02/1980,12/02/1980
2616,2616,2616,2616,3616,3616,3616,3616,4616,4616,4616,4616,Carlos Silva,Carlos Silva,Carlos Silva,Carlos Silva,Alexandre Bazzi,Alexandre Bazzi,Alexandre Bazzi,Alexandre Bazzi,Vendas,Vendas,Vendas,Vendas,Médio,Médio,Médio,Médio,10/04/2024,10/04/2024,10/04/2024,10/04/2024,10/04/2024,10/04/2024,10/04/2024,10/04/2024,Bloqueador,Bloqueador,Bloqueador,Bloqueador,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Signatário,Signatário,Signatário,Signatário,Time Financeiro,Time Financeiro,Time Financeiro,Time Financeiro,C-Level,C-Level,C-Level,C-Level,Tecnologia,Tecnologia,Tecnologia,Tecnologia,Operações,Operações,Operações,Operações,Operações,Operações,Operações,Operações,CEO,CEO,CEO,CEO,+55 (11) 3000-6574,+55 (11) 3000-6574,+55 (11) 3000-6574,+55 (11) 3000-6574,+55 (11) 98569-3547,+55 (11) 98569-3547,+55 (11) 98569-3547,+55 (11) 98569-3547,carlos.silva@gmail.com,carlos.silva@gmail.com,carlos.silva@gmail.com,carlos.silva@gmail.com,http://linkedin.com/in/carlossilva,http://linkedin.com/in/carlossilva,http://linkedin.com/in/carlossilva,http://linkedin.com/in/carlossilva,@carlossilva,@carlossilva,@carlossilva,@carlossilva,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",Telefone,Telefone,Telefone,Telefone,507943839,507943839,507943839,507943839,987.654.321-00,987.654.321-00,987.654.321-00,987.654.321-00,Separado,Separado,Separado,Separado,Economista,Economista,Economista,Economista,35,35,35,35,Não Binário,Não Binário,Não Binário,Não Binário,13/02/1980,13/02/1980,13/02/1980,13/02/1980
4804,4804,4804,4804,5804,5804,5804,5804,6804,6804,6804,6804,Pedro Lima,Pedro Lima,Pedro Lima,Pedro Lima,Luiza Aduan,Luiza Aduan,Luiza Aduan,Luiza Aduan,Customer Success,Customer Success,Customer Success,Customer Success,Baixo,Baixo,Baixo,Baixo,11/04/2024,11/04/2024,11/04/2024,11/04/2024,11/04/2024,11/04/2024,11/04/2024,11/04/2024,Coach,Coach,Coach,Coach,Campeão,Campeão,Campeão,Campeão,Testemunha,Testemunha,Testemunha,Testemunha,Time Financeiro,Time Financeiro,Time Financeiro,Time Financeiro,Coordenador,Coordenador,Coordenador,Coordenador,Marketing,Marketing,Marketing,Marketing,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Gerente,Gerente,Gerente,Gerente,+55 (11) 3000-6925,+55 (11) 3000-6925,+55 (11) 3000-6925,+55 (11) 3000-6925,+55 (11) 99182-4150,+55 (11) 99182-4150,+55 (11) 99182-4150,+55 (11) 99182-4150,pedro.lima@gmail.com,pedro.lima@gmail.com,pedro.lima@gmail.com,pedro.lima@gmail.com,http://linkedin.com/in/pedrolima,http://linkedin.com/in/pedrolima,http://linkedin.com/in/pedrolima,http://linkedin.com/in/pedrolima,@pedrolima,@pedrolima,@pedrolima,@pedrolima,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",E-mail,E-mail,E-mail,E-mail,185675980,185675980,185675980,185675980,456.789.123-64,456.789.123-64,456.789.123-64,456.789.123-64,Viúvo,Viúvo,Viúvo,Viúvo,Economista,Economista,Economista,Economista,47,47,47,47,Não Binário,Não Binário,Não Binário,Não Binário,14/02/1980,14/02/1980,14/02/1980,14/02/1980
1170,1170,1170,1170,2170,2170,2170,2170,3170,3170,3170,3170,Marcos Rodrigues,Marcos Rodrigues,Marcos Rodrigues,Marcos Rodrigues,Luiza Aduan,Luiza Aduan,Luiza Aduan,Luiza Aduan,Customer Success,Customer Success,Customer Success,Customer Success,Baixo,Baixo,Baixo,Baixo,12/04/2024,12/04/2024,12/04/2024,12/04/2024,12/04/2024,12/04/2024,12/04/2024,12/04/2024,Coach,Coach,Coach,Coach,Admin,Admin,Admin,Admin,Testemunha,Testemunha,Testemunha,Testemunha,Responsável pelo Financeiro,Responsável pelo Financeiro,Responsável pelo Financeiro,Responsável pelo Financeiro,Analista,Analista,Analista,Analista,Jurídico,Jurídico,Jurídico,Jurídico,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Coordenador,Coordenador,Coordenador,Coordenador,+55 (11) 3000-3803,+55 (11) 3000-3803,+55 (11) 3000-3803,+55 (11) 3000-3803,+55 (11) 99093-5010,+55 (11) 99093-5010,+55 (11) 99093-5010,+55 (11) 99093-5010,marcos.rodrigues@gmail.com,marcos.rodrigues@gmail.com,marcos.rodrigues@gmail.com,marcos.rodrigues@gmail.com,http://linkedin.com/in/marcosrodrigues,http://linkedin.com/in/marcosrodrigues,http://linkedin.com/in/marcosrodrigues,http://linkedin.com/in/marcosrodrigues,@marcosrodrigues,@marcosrodrigues,@marcosrodrigues,@marcosrodrigues,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",Telefone,Telefone,Telefone,Telefone,787194506,787194506,787194506,787194506,321.654.987-91,321.654.987-91,321.654.987-91,321.654.987-91,Divorciado,Divorciado,Divorciado,Divorciado,Engenheiro,Engenheiro,Engenheiro,Engenheiro,32,32,32,32,Masculino,Masculino,Masculino,Masculino,15/02/1980,15/02/1980,15/02/1980,15/02/1980
5156,5156,5156,5156,6156,6156,6156,6156,7156,7156,7156,7156,Marcos Gomes,Marcos Gomes,Marcos Gomes,Marcos Gomes,Rafael Giacomini,Rafael Giacomini,Rafael Giacomini,Rafael Giacomini,Onboarding,Onboarding,Onboarding,Onboarding,Baixo,Baixo,Baixo,Baixo,13/04/2024,13/04/2024,13/04/2024,13/04/2024,13/04/2024,13/04/2024,13/04/2024,13/04/2024,Influenciador,Influenciador,Influenciador,Influenciador,Campeão,Campeão,Campeão,Campeão,Testemunha,Testemunha,Testemunha,Testemunha,Time Financeiro,Time Financeiro,Time Financeiro,Time Financeiro,Coordenador,Coordenador,Coordenador,Coordenador,Marketing,Marketing,Marketing,Marketing,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Gerente,Gerente,Gerente,Gerente,+55 (11) 3000-9179,+55 (11) 3000-9179,+55 (11) 3000-9179,+55 (11) 3000-9179,+55 (11) 98810-8517,+55 (11) 98810-8517,+55 (11) 98810-8517,+55 (11) 98810-8517,marcos.gomes@gmail.com,marcos.gomes@gmail.com,marcos.gomes@gmail.com,marcos.gomes@gmail.com,http://linkedin.com/in/marcosgomes,http://linkedin.com/in/marcosgomes,http://linkedin.com/in/marcosgomes,http://linkedin.com/in/marcosgomes,@marcosgomes,@marcosgomes,@marcosgomes,@marcosgomes,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",Telefone,Telefone,Telefone,Telefone,899925830,899925830,899925830,899925830,654.321.789-82,654.321.789-82,654.321.789-82,654.321.789-82,Viúvo,Viúvo,Viúvo,Viúvo,Gerente,Gerente,Gerente,Gerente,43,43,43,43,Feminino,Feminino,Feminino,Feminino,16/02/1980,16/02/1980,16/02/1980,16/02/1980
1797,1797,1797,1797,2797,2797,2797,2797,3797,3797,3797,3797,Pedro Silva,Pedro Silva,Pedro Silva,Pedro Silva,Rafael Giacomini,Rafael Giacomini,Rafael Giacomini,Rafael Giacomini,Onboarding,Onboarding,Onboarding,Onboarding,Baixo,Baixo,Baixo,Baixo,14/04/2024,14/04/2024,14/04/2024,14/04/2024,14/04/2024,14/04/2024,14/04/2024,14/04/2024,Bloqueador,Bloqueador,Bloqueador,Bloqueador,Campeão,Campeão,Campeão,Campeão,Testemunha,Testemunha,Testemunha,Testemunha,Time Financeiro,Time Financeiro,Time Financeiro,Time Financeiro,CEO,CEO,CEO,CEO,Gestão,Gestão,Gestão,Gestão,Executivo,Executivo,Executivo,Executivo,Executivo,Executivo,Executivo,Executivo,,,,,+55 (11) 3000-3621,+55 (11) 3000-3621,+55 (11) 3000-3621,+55 (11) 3000-3621,+55 (11) 99622-7916,+55 (11) 99622-7916,+55 (11) 99622-7916,+55 (11) 99622-7916,pedro.silva@gmail.com,pedro.silva@gmail.com,pedro.silva@gmail.com,pedro.silva@gmail.com,http://linkedin.com/in/pedrosilva,http://linkedin.com/in/pedrosilva,http://linkedin.com/in/pedrosilva,http://linkedin.com/in/pedrosilva,@pedrosilva,@pedrosilva,@pedrosilva,@pedrosilva,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",E-mail,E-mail,E-mail,E-mail,668132202,668132202,668132202,668132202,159.357.486-06,159.357.486-06,159.357.486-06,159.357.486-06,Casado,Casado,Casado,Casado,Gerente,Gerente,Gerente,Gerente,35,35,35,35,Não Binário,Não Binário,Não Binário,Não Binário,17/02/1980,17/02/1980,17/02/1980,17/02/1980
54,54,54,54,1054,1054,1054,1054,2054,2054,2054,2054,Luiz Pereira,Luiz Pereira,Luiz Pereira,Luiz Pereira,Alexandre Bazzi,Alexandre Bazzi,Alexandre Bazzi,Alexandre Bazzi,Vendas,Vendas,Vendas,Vendas,Baixo,Baixo,Baixo,Baixo,15/04/2024,15/04/2024,15/04/2024,15/04/2024,15/04/2024,15/04/2024,15/04/2024,15/04/2024,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Usuário,Usuário,Usuário,Usuário,Testemunha,Testemunha,Testemunha,Testemunha,Time Financeiro,Time Financeiro,Time Financeiro,Time Financeiro,Gerente,Gerente,Gerente,Gerente,Tecnologia,Tecnologia,Tecnologia,Tecnologia,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Planejamento,Head,Head,Head,Head,+55 (11) 3000-5315,+55 (11) 3000-5315,+55 (11) 3000-5315,+55 (11) 3000-5315,+55 (11) 99990-9201,+55 (11) 99990-9201,+55 (11) 99990-9201,+55 (11) 99990-9201,luiz.pereira@gmail.com,luiz.pereira@gmail.com,luiz.pereira@gmail.com,luiz.pereira@gmail.com,http://linkedin.com/in/luizpereira,http://linkedin.com/in/luizpereira,http://linkedin.com/in/luizpereira,http://linkedin.com/in/luizpereira,@luizpereira,@luizpereira,@luizpereira,@luizpereira,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",Telefone,Telefone,Telefone,Telefone,786066793,786066793,786066793,786066793,246.810.121-90,246.810.121-90,246.810.121-90,246.810.121-90,Divorciado,Divorciado,Divorciado,Divorciado,Empreendedor,Empreendedor,Empreendedor,Empreendedor,52,52,52,52,Não Binário,Não Binário,Não Binário,Não Binário,18/02/1980,18/02/1980,18/02/1980,18/02/1980
5948,5948,5948,5948,6948,6948,6948,6948,7948,7948,7948,7948,João Santos,João Santos,João Santos,João Santos,Luiza Aduan,Luiza Aduan,Luiza Aduan,Luiza Aduan,Customer Success,Customer Success,Customer Success,Customer Success,Alto,Alto,Alto,Alto,16/04/2024,16/04/2024,16/04/2024,16/04/2024,16/04/2024,16/04/2024,16/04/2024,16/04/2024,Influenciador,Influenciador,Influenciador,Influenciador,Usuário,Usuário,Usuário,Usuário,Testemunha,Testemunha,Testemunha,Testemunha,Sem Função de Faturamento,Sem Função de Faturamento,Sem Função de Faturamento,Sem Função de Faturamento,C-Level,C-Level,C-Level,C-Level,Tecnologia,Tecnologia,Tecnologia,Tecnologia,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,CEO,CEO,CEO,CEO,+55 (11) 3000-1949,+55 (11) 3000-1949,+55 (11) 3000-1949,+55 (11) 3000-1949,+55 (11) 98493-2290,+55 (11) 98493-2290,+55 (11) 98493-2290,+55 (11) 98493-2290,joão.santos@gmail.com,joão.santos@gmail.com,joão.santos@gmail.com,joão.santos@gmail.com,http://linkedin.com/in/joãosantos,http://linkedin.com/in/joãosantos,http://linkedin.com/in/joãosantos,http://linkedin.com/in/joãosantos,@joãosantos,@joãosantos,@joãosantos,@joãosantos,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",E-mail,E-mail,E-mail,E-mail,237859287,237859287,237859287,237859287,357.951.486-52,357.951.486-52,357.951.486-52,357.951.486-52,Divorciado,Divorciado,Divorciado,Divorciado,Gerente,Gerente,Gerente,Gerente,56,56,56,56,Feminino,Feminino,Feminino,Feminino,19/02/1980,19/02/1980,19/02/1980,19/02/1980
6538,6538,6538,6538,7538,7538,7538,7538,8538,8538,8538,8538,Marcos Rodrigues,Marcos Rodrigues,Marcos Rodrigues,Marcos Rodrigues,Luiza Aduan,Luiza Aduan,Luiza Aduan,Luiza Aduan,Customer Success,Customer Success,Customer Success,Customer Success,Baixo,Baixo,Baixo,Baixo,17/04/2024,17/04/2024,17/04/2024,17/04/2024,17/04/2024,17/04/2024,17/04/2024,17/04/2024,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Testemunha,Testemunha,Testemunha,Testemunha,Responsável pelo Financeiro,Responsável pelo Financeiro,Responsável pelo Financeiro,Responsável pelo Financeiro,Gerente,Gerente,Gerente,Gerente,Marketing,Marketing,Marketing,Marketing,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Head,Head,Head,Head,+55 (11) 3000-7118,+55 (11) 3000-7118,+55 (11) 3000-7118,+55 (11) 3000-7118,+55 (11) 98897-9479,+55 (11) 98897-9479,+55 (11) 98897-9479,+55 (11) 98897-9479,marcos.rodrigues@gmail.com,marcos.rodrigues@gmail.com,marcos.rodrigues@gmail.com,marcos.rodrigues@gmail.com,http://linkedin.com/in/marcosrodrigues,http://linkedin.com/in/marcosrodrigues,http://linkedin.com/in/marcosrodrigues,http://linkedin.com/in/marcosrodrigues,@marcosrodrigues,@marcosrodrigues,@marcosrodrigues,@marcosrodrigues,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",Whatsapp,Whatsapp,Whatsapp,Whatsapp,168747287,168747287,168747287,168747287,123.456.789-09,123.456.789-09,123.456.789-09,123.456.789-09,Solteiro,Solteiro,Solteiro,Solteiro,Gerente,Gerente,Gerente,Gerente,32,32,32,32,Masculino,Masculino,Masculino,Masculino,20/02/1980,20/02/1980,20/02/1980,20/02/1980
515,515,515,515,1515,1515,1515,1515,2515,2515,2515,2515,Bruno Santos,Bruno Santos,Bruno Santos,Bruno Santos,Rafael Giacomini,Rafael Giacomini,Rafael Giacomini,Rafael Giacomini,Onboarding,Onboarding,Onboarding,Onboarding,Alto,Alto,Alto,Alto,18/04/2024,18/04/2024,18/04/2024,18/04/2024,18/04/2024,18/04/2024,18/04/2024,18/04/2024,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Tomador de Decisão,Testemunha,Testemunha,Testemunha,Testemunha,Time Financeiro,Time Financeiro,Time Financeiro,Time Financeiro,C-Level,C-Level,C-Level,C-Level,Financeiro,Financeiro,Financeiro,Financeiro,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,Desenvolvimento,CEO,CEO,CEO,CEO,+55 (11) 3000-9423,+55 (11) 3000-9423,+55 (11) 3000-9423,+55 (11) 3000-9423,+55 (11) 98487-5562,+55 (11) 98487-5562,+55 (11) 98487-5562,+55 (11) 98487-5562,bruno.santos@gmail.com,bruno.santos@gmail.com,bruno.santos@gmail.com,bruno.santos@gmail.com,http://linkedin.com/in/brunosantos,http://linkedin.com/in/brunosantos,http://linkedin.com/in/brunosantos,http://linkedin.com/in/brunosantos,@brunosantos,@brunosantos,@brunosantos,@brunosantos,"Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132","Rua Tangará, 132",Whatsapp,Whatsapp,Whatsapp,Whatsapp,876693898,876693898,876693898,876693898,987.654.321-00,987.654.321-00,987.654.321-00,987.654.321-00,Viúvo,Viúvo,Viúvo,Viúvo,Administrador,Administrador,Administrador,Administrador,30,30,30,30,Masculino,Masculino,Masculino,Masculino,21/02/1980,21/02/1980,21/02/1980,21/02/1980
